YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
15-03-1901,24.23,18.71,26.06,27.3,21.92
15-03-1902,24.33,19.7,26.44,27.18,21.49
15-03-1903,23.8,19.05,25.47,27.17,21.27
15-03-1904,23.86,18.66,25.84,26.83,21.42
15-03-1905,23.71,17.58,24.99,27.37,21.48
15-03-1906,24.12,18.37,25.93,27.15,22.08
15-03-1907,23.87,19.35,24.89,26.89,21.76
15-03-1908,23.95,19.04,26.02,26.95,21.17
15-03-1909,23.78,18.42,25.71,26.53,21.75
15-03-1910,23.77,18.93,25.74,26.81,20.96
15-03-1911,23.96,18.85,25.53,27.18,21.48
15-03-1912,24.11,19.72,25.81,27.13,21.29
15-03-1913,23.88,19.09,25.56,26.93,21.32
15-03-1914,24.03,19.31,25.53,27.15,21.52
15-03-1915,24.29,18.47,26.03,27.6,22.01
15-03-1916,24.08,19.1,26.41,26.92,21.27
15-03-1917,23.56,19.05,24.89,26.75,21.01
15-03-1918,23.83,18.4,25.39,27.07,21.54
15-03-1919,24.01,18.96,25.85,27.06,21.48
15-03-1920,23.91,18.72,25.27,27.05,21.85
15-03-1921,24.33,19.06,26.6,26.99,21.39
15-03-1922,24.05,19.4,25.88,27.07,21.2
15-03-1923,24.05,18.8,26.12,27.11,21.4
15-03-1924,24.15,19.02,26.14,27.18,21.52
15-03-1925,23.95,18.31,26.18,26.92,21.51
15-03-1926,24.04,19.68,25.28,27.41,21.26
15-03-1927,23.94,18.77,25.51,26.98,21.76
15-03-1928,24.29,19.39,26.19,27.18,21.81
15-03-1929,24.08,18.62,26.36,27.1,21.42
15-03-1930,23.93,18.23,25.81,27.04,21.71
15-03-1931,24.44,19.54,26.36,27.29,21.97
15-03-1932,24.21,19.12,25.91,27.32,21.75
15-03-1933,23.92,19.1,25.34,26.87,21.77
15-03-1934,24.13,19.15,25.89,27.29,21.55
15-03-1935,23.98,18.62,25.77,26.96,21.65
15-03-1936,24.12,19.03,26.02,26.94,21.86
15-03-1937,23.98,19.11,25.61,27.32,21.14
15-03-1938,23.98,18.46,26.5,26.86,21.31
15-03-1939,24.01,19.1,25.41,27.16,21.67
15-03-1940,24.06,19.03,25.49,27.08,21.91
15-03-1941,24.65,19.31,26.87,27.45,22.3
15-03-1942,24.22,19.07,26.49,27.18,21.72
15-03-1943,23.93,18.89,25.57,26.97,21.68
15-03-1944,24.03,18.54,25.7,27.27,21.76
15-03-1945,23.92,18.35,25.71,27.43,21.16
15-03-1946,24.42,19.52,26.12,27.24,22.13
15-03-1947,24.04,18.78,26.42,27.32,21.39
15-03-1948,24.11,18.83,26.04,27.08,21.73
15-03-1949,24.08,19.18,26.14,27.08,21.29
15-03-1950,23.71,18.71,25.5,26.87,21.14
15-03-1951,24.22,18.68,25.47,27.19,22.45
15-03-1952,24.34,19.86,26.04,27.25,21.77
15-03-1953,24.57,19.47,26.87,27.33,22.01
15-03-1954,24.13,19.11,26.5,27.09,21.15
15-03-1955,23.97,19.46,25.58,26.98,21.35
15-03-1956,23.96,18.83,26.31,26.66,21.41
15-03-1957,23.97,18.73,25.25,27.15,21.94
15-03-1958,24.62,20.01,26.45,27.43,22.13
15-03-1959,24.3,18.93,26.31,27.19,22
15-03-1960,24.29,19.72,25.7,27.34,21.84
15-03-1961,24,18.98,26.11,27.06,21.17
15-03-1962,24.04,18.91,25.91,27.14,21.47
15-03-1963,24.15,19.07,25.57,27.21,22.04
15-03-1964,24.1,18.83,26.38,26.9,21.58
15-03-1965,24.07,19.22,25.24,27.08,22.1
15-03-1966,24.36,19.93,26.07,27.17,21.83
15-03-1967,24.11,19.44,25.55,27.19,21.68
15-03-1968,23.94,18.25,25.62,27.22,21.69
15-03-1969,24.46,19.18,26.39,27.35,22.2
15-03-1970,24.26,19.56,26.39,27.06,21.55
15-03-1971,24.21,19.05,25.78,26.75,21.48
15-03-1972,24.1,18.57,25.78,27.27,21.88
15-03-1973,24.41,19.74,26.53,27.3,21.53
15-03-1974,24,18.54,26.24,27.02,21.38
15-03-1975,23.74,18.69,25.77,26.57,21.3
15-03-1976,24.07,18.87,25.61,26.87,22.25
15-03-1977,24.35,19.35,26.03,27.13,22.3
15-03-1978,24.24,18.95,25.94,27.12,22.22
15-03-1979,24.57,19.47,25.97,27.54,22.59
15-03-1980,24.55,19.64,26.58,27.26,22.17
15-03-1981,24.27,19.42,26.14,27.22,21.68
15-03-1982,24.15,19.14,25.41,27.31,22.02
15-03-1983,24.12,19.09,25.45,27.43,21.71
15-03-1984,24.26,18.85,26.51,27.1,21.82
15-03-1985,24.45,19.61,26.72,27.12,21.84
15-03-1986,24.2,19.12,25.94,27.17,21.9
15-03-1987,24.57,19.42,25.85,27.88,22.29
15-03-1988,24.42,19.7,26.24,27.22,22
15-03-1989,24.03,18.76,25.69,26.98,21.94
15-03-1990,24.21,19.44,25.55,27.18,22.11
15-03-1991,24.28,19.21,26.02,27.32,21.87
14-03-1992,24.15,19.06,25.64,27.15,22.04
15-03-1993,24.43,19.61,25.98,27.34,22.21
15-03-1994,24.46,19.76,26.3,27.3,21.97
15-03-1995,25.29,20.33,26.94,28.07,23.19
15-03-1996,24.55,20.79,26.49,27.22,21.76
15-03-1997,24.1,18.87,25.69,27.6,21.89
15-03-1998,24.76,19.72,26.41,27.69,22.42
15-03-1999,24.67,19.75,26.66,27.38,22.29
15-03-2000,24.6,19.33,26.47,27.23,22.68
15-03-2001,24.73,19.75,26.82,27.47,22.52
15-03-2002,25,19.65,27.22,27.71,22.58
15-03-2003,24.72,19.82,26.52,27.64,22.23
15-03-2004,24.74,19.93,27.06,27.33,22.24
15-03-2005,24.58,19.79,26.33,27.64,21.93
15-03-2006,25.06,21.33,26.52,27.4,22.66
15-03-2007,24.77,20.1,26.69,27.49,22.32
15-03-2008,24.61,19.16,26.46,27.26,22.87
15-03-2009,25.11,20.72,26.86,27.89,22.58
15-03-2010,25.13,20.19,27.83,27.5,22.6
15-03-2011,24.67,19.54,26.38,27.54,22.71
15-03-2012,24.69,19.34,26.55,27.71,22.35
15-03-2013,24.82,19.98,26.85,27.46,22.5
15-03-2014,24.73,19.58,26.24,27.88,22.47
15-03-2015,24.91,20.12,26.29,27.73,22.99
15-03-2016,26.45,22.25,28.86,28.44,24.2
15-03-2017,26.29,21.84,28.41,28.5,24.21
15-03-2018,25.9,21.24,28.16,28.28,23.55
15-03-2019,25.86,20.71,28,28.6,23.49
